,unique_id,ds,timesfm,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
0,Brno_1,2023-08-01,217145.55,202762.12,207422.89,211358.58,214438.33,217145.55,220137.7,222894.86,227039.3,233270.1
1,Brno_1,2023-09-01,219948.5,201507.73,208056.6,212479.97,216037.64,219948.5,223383.97,227177.77,232298.42,240718.88
2,Brno_1,2023-10-01,220501.77,199941.48,207368.2,212537.69,216496.86,220501.77,224084.16,229148.48,234842.86,244508.88
3,Brno_1,2023-11-01,224548.33,202339.48,209810.9,215215.7,220016.5,224548.33,229121.8,234127.62,240968.02,250793.3
4,Brno_1,2023-12-01,225073.5,201297.44,209670.52,215390.58,220259.83,225073.5,229972.2,235502.7,242631.56,253508.77
5,Brno_1,2024-01-01,225115.03,199704.45,208476.19,215536.5,220171.97,225115.03,230253.88,235893.17,243402.22,254877.44
6,Brno_1,2024-02-01,221466.38,195615.03,204778.42,211018.22,216899.7,221466.38,227105.06,232749.45,240706.27,252335.73
7,Brno_1,2024-03-01,224792.11,196853.84,206762.67,213338.3,219335.81,224792.11,230085.38,236309.78,244524.89,256575.94
8,Prague_1,2023-08-01,242901.11,226697.73,231904.38,237218.48,240007.34,242901.11,245397.2,249398.53,254240.95,260153.14
9,Prague_1,2023-09-01,256413.34,235121.66,242305.75,247913.25,252423.4,256413.34,260050.78,264733.28,269699.25,279752.4
10,Prague_1,2023-10-01,265053.3,239997.92,249666.6,255737.6,260684.95,265053.3,269431.38,276009.66,282385.7,292450.25
11,Prague_1,2023-11-01,277529.3,249436.02,259152.69,265724.47,271926.4,277529.3,282696.2,288522.03,297064.7,306718.62
12,Prague_1,2023-12-01,284954.84,254036.19,264911.66,272873.0,279389.53,284954.84,290925.44,297195.3,305884.5,318521.75
13,Prague_1,2024-01-01,285146.3,251103.67,263353.56,272313.28,277952.25,285146.3,291176.8,297384.78,306059.94,318054.75
14,Prague_1,2024-02-01,268640.38,236710.72,248886.16,256042.31,263657.75,268640.38,274976.2,282264.25,290762.47,302009.0
15,Prague_1,2024-03-01,280470.6,245435.4,258768.39,266750.66,274599.2,280470.6,286943.7,294056.1,303288.38,315179.56
16,Prague_2,2023-08-01,149172.38,139045.52,142344.4,145360.47,147383.05,149172.38,150800.27,153197.72,156323.67,160033.39
17,Prague_2,2023-09-01,155401.5,142019.47,146609.52,149980.39,152997.73,155401.5,157728.06,160627.14,163740.94,170217.11
18,Prague_2,2023-10-01,158096.42,142667.22,148576.0,152305.53,155352.34,158096.42,160882.45,164888.42,168856.97,175422.73
19,Prague_2,2023-11-01,165824.1,148388.52,154252.5,158476.61,162154.52,165824.1,169000.81,172616.88,177860.31,184231.75
20,Prague_2,2023-12-01,171354.56,152185.02,158998.89,163786.23,167731.39,171354.56,175115.92,179053.42,184521.22,192640.92
21,Prague_2,2024-01-01,170561.4,149781.98,157223.97,162745.12,166220.1,170561.4,174422.48,178427.6,183720.06,191735.92
22,Prague_2,2024-02-01,160430.27,140689.86,148059.84,152447.73,157243.27,160430.27,164312.89,168816.95,174316.02,181700.83
23,Prague_2,2024-03-01,166771.42,145174.6,153356.14,158290.62,163126.11,166771.42,170851.69,175210.17,181057.9,188967.67
24,Prague_3,2023-08-01,136731.3,127891.35,130609.01,133334.25,135068.56,136731.3,138189.03,140384.27,143033.7,146528.5
25,Prague_3,2023-09-01,142674.47,131224.48,135058.5,138056.9,140411.06,142674.47,144770.55,147273.98,150126.67,155731.9
26,Prague_3,2023-10-01,145488.81,132409.47,137366.88,140488.0,143029.66,145488.81,147828.16,151304.02,154760.22,160430.23
27,Prague_3,2023-11-01,151126.9,136677.81,141523.17,144930.56,148076.02,151126.9,153845.86,156995.23,161542.2,167064.47
28,Prague_3,2023-12-01,155972.72,139992.42,145675.27,149658.27,152931.25,155972.72,159112.05,162566.97,167185.48,174088.12
29,Prague_3,2024-01-01,155442.72,138248.56,144287.31,148846.42,151801.02,155442.72,158628.84,162000.47,166638.3,173343.25
30,Prague_3,2024-02-01,146762.39,130612.586,136669.03,140212.83,144187.86,146762.39,150105.42,153904.66,158493.53,164694.78
31,Prague_3,2024-03-01,153358.44,135641.89,142185.8,146195.5,150235.55,153358.44,156670.47,160479.28,165348.44,172002.16
