,unique_id,ds,AutoARIMA,AutoTBATS,AutoETS,LinearRegression,LGBMRegressor,XGBRegressor,RandomForestRegressor,TFT,NHITS,TimeGPT,TimeGPT_4,TimeGPT_6,TimeGPT_8,Unnamed: 0,timesfm,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
0,Brno_1,2023-12-01,258943.88,249276.23,251925.38,276673.28,262346.3,263501.5,264465.7,248019.25,256796.69,250333.12,252605.2,253510.25,254226.88,0,254967.67,237663.19,244006.73,248769.55,251503.11,254967.67,258723.9,262036.56,267336.28,273261.4
1,Brno_1,2024-01-01,260850.8,249350.56,251925.38,289178.84,271418.7,273108.75,271225.88,242260.16,264255.84,252603.3,255549.9,256826.98,257879.72,1,249670.33,229482.06,236937.88,240994.61,245445.95,249670.33,252853.81,257846.81,262228.66,271091.16
2,Brno_1,2024-02-01,255345.42,246904.16,251925.38,284091.97,270878.7,259731.56,256024.39,240629.48,273534.75,235315.69,238116.23,239207.19,240026.6,2,237515.64,215260.58,223674.34,228517.8,233477.48,237515.64,242161.83,246734.12,253021.52,261704.97
3,Brno_1,2024-03-01,255379.92,242299.83,251925.38,322418.47,289367.88,276830.47,270088.6,240240.02,278927.75,243055.73,246538.08,248168.67,249676.81,3,240161.14,215913.06,224705.75,230042.83,236146.48,240161.14,245142.06,249891.62,256198.06,265958.1
4,Prague_1,2023-12-01,305770.34,286205.5,289373.0,317093.03,309528.16,307622.56,303870.0,290409.47,294084.03,286215.06,287709.22,288209.94,288608.06,4,292951.66,274931.56,281578.47,286305.72,289015.56,292951.66,297177.28,300200.4,305806.12,311400.66
5,Prague_1,2024-01-01,286446.62,282130.66,289373.0,330546.94,305376.44,299838.8,288160.75,290508.9,302714.8,290038.44,292702.16,293849.88,294801.3,5,286850.06,265308.72,272303.3,277346.3,282862.97,286850.06,290022.9,294835.88,299486.3,308423.88
6,Prague_1,2024-02-01,249399.69,281330.6,289373.0,312953.5,287403.88,282129.03,270037.03,288587.72,313273.72,266260.3,269190.84,270326.4,271148.1,6,278267.8,254396.06,262350.06,268459.7,274067.9,278267.8,284109.88,288447.03,295159.66,303410.97
7,Prague_1,2024-03-01,280968.8,283509.62,289373.0,355656.06,300529.2,301292.56,285682.84,287206.22,319241.7,277332.03,280988.62,282673.88,284208.4,7,283899.84,256514.08,266089.62,271967.1,279307.6,283899.84,288984.5,294547.56,301514.12,310367.03
8,Prague_2,2023-12-01,179456.95,172073.78,172525.98,201676.62,188677.19,189736.97,184250.61,172123.4,175967.7,172875.58,173872.5,174288.75,174568.88,8,181069.25,170029.7,174036.47,177163.17,178865.39,181069.25,183799.95,185816.14,189236.33,192830.42
9,Prague_2,2024-01-01,181436.45,173434.22,172525.98,204884.44,183630.75,182147.39,174671.62,173657.94,180462.47,174002.33,175693.06,176440.2,177058.84,9,172745.28,159750.39,164276.95,166896.16,170449.48,172745.28,174985.64,177796.61,180389.73,186080.02
10,Prague_2,2024-02-01,178384.64,172433.88,172525.98,197661.45,172710.94,167372.08,159124.05,172173.12,187039.36,159512.6,161290.95,161980.84,162489.31,10,166268.23,151573.48,156651.53,160303.1,163845.69,166268.23,169701.06,172289.39,176411.6,181701.69
11,Prague_2,2024-03-01,174611.52,169278.34,172525.98,229563.72,185625.64,184366.17,173246.97,171321.5,190800.17,165861.0,168050.12,169115.36,170056.17,11,169131.61,152664.4,158352.27,161958.47,166479.33,169131.61,172446.67,175712.94,179899.03,185817.06
12,Prague_3,2023-12-01,166428.3,156524.22,157355.16,184953.42,170872.61,172620.2,167686.02,157734.28,160677.78,157388.17,158226.77,158542.27,158812.05,12,160476.31,150654.14,154250.23,156776.88,158362.81,160476.31,162811.0,164316.14,167171.9,170610.86
13,Prague_3,2024-01-01,165579.61,154828.75,157355.16,187622.98,164547.6,164825.72,160018.47,157815.34,165154.5,158649.03,160129.31,160775.4,161321.2,13,156360.9,145453.64,148924.77,151718.56,154218.28,156360.9,158277.3,160916.16,163308.36,167906.7
14,Prague_3,2024-02-01,157566.22,154649.61,157355.16,183050.62,154430.67,151390.66,145376.02,156538.11,171082.81,145954.92,147476.2,148089.1,148554.86,14,153599.1,140759.48,145250.81,148347.28,151277.9,153599.1,156544.55,158688.84,162185.27,166915.42
15,Prague_3,2024-03-01,161403.06,155871.69,157355.16,212827.08,171641.3,164667.44,156770.5,155739.0,174563.31,152137.17,154045.28,154938.06,155759.9,15,156965.36,142762.02,148139.48,150961.69,154595.97,156965.36,160181.27,163030.89,166608.12,171600.84
