,unique_id,ds,timesfm,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
0,Brno_1,2023-05-21,52436.61,49662.824,50383.758,51344.703,52027.324,52436.61,53140.348,53792.758,54678.453,56299.164
1,Brno_1,2023-05-28,52559.367,49349.676,50404.934,51225.5,51666.223,52559.367,53443.137,53907.47,55023.344,56684.438
2,Brno_1,2023-06-04,52322.39,48711.375,50041.492,50975.21,51623.977,52322.39,52879.125,53731.39,54832.246,56584.83
3,Brno_1,2023-06-11,52050.92,48161.652,49573.59,50496.074,51298.49,52050.92,52829.48,53747.2,54792.04,56605.742
4,Brno_1,2023-06-18,52101.188,47960.387,49465.656,50615.945,51349.457,52101.188,53200.06,54237.137,55458.33,57699.246
5,Brno_1,2023-06-25,52023.81,47635.12,49136.434,50384.133,51086.574,52023.81,52931.445,53853.047,55504.39,57871.57
6,Brno_1,2023-07-02,51903.51,47407.43,49055.18,50185.918,51243.51,51903.51,53071.21,54109.062,55685.98,58124.902
7,Brno_1,2023-07-09,51619.824,46845.97,48562.105,49694.098,50585.418,51619.824,52719.98,53764.16,55260.684,57786.67
8,Brno_1,2023-07-16,52099.234,47084.62,48881.793,50107.06,51022.2,52099.234,52952.895,54311.67,55847.4,58632.996
9,Brno_1,2023-07-23,52078.9,47128.16,48934.395,50097.363,51174.113,52078.9,53020.543,54301.918,56035.082,58509.9
10,Brno_1,2023-07-30,52292.92,47465.95,48884.434,50374.83,51172.87,52292.92,53404.28,54204.055,56141.785,58753.035
11,Brno_1,2023-08-06,52120.777,46916.477,48791.145,49952.242,50914.98,52120.777,53094.72,54256.18,56032.668,59040.05
12,Brno_1,2023-08-13,52418.242,47234.797,49032.438,50254.008,51122.312,52418.242,53662.47,54975.984,56767.727,59757.65
13,Brno_1,2023-08-20,52950.723,47697.707,49366.586,50633.848,51785.71,52950.723,54036.844,55563.316,57626.316,60867.32
14,Brno_1,2023-08-27,53032.69,47240.094,48977.293,50460.426,51896.16,53032.69,54381.637,56173.27,57889.13,61146.293
15,Brno_1,2023-09-03,53312.605,47011.47,48992.38,50673.855,51799.285,53312.605,54321.266,56178.53,58225.426,61772.027
16,Brno_1,2023-09-10,53576.31,47342.164,49532.207,50820.76,52392.504,53576.31,54939.12,56643.023,58648.26,61994.28
17,Brno_1,2023-09-17,54380.797,48038.81,50370.863,51810.094,53057.477,54380.797,55768.555,57456.977,59808.164,62740.418
18,Brno_1,2023-09-24,54511.543,47865.117,50126.273,52075.79,53352.1,54511.543,55986.777,57761.53,59983.086,63328.15
19,Brno_1,2023-10-01,54890.63,48107.12,50414.508,52089.414,53294.56,54890.63,56211.184,57747.887,59955.5,63201.15
20,Brno_1,2023-10-08,54732.12,48528.36,50772.434,52291.58,53479.496,54732.12,56230.91,57773.836,59974.79,62748.37
21,Brno_1,2023-10-15,54834.715,48330.01,50682.703,52006.86,53467.34,54834.715,56073.34,57745.72,59491.06,62780.76
22,Brno_1,2023-10-22,55159.652,48278.73,50759.18,52401.523,53858.19,55159.652,56658.207,58216.406,60344.098,63505.01
23,Brno_1,2023-10-29,54940.523,47725.08,50324.406,52007.91,53484.457,54940.523,56279.465,58061.688,60104.617,63390.105
24,Brno_1,2023-11-05,54955.45,47802.766,50199.445,51990.07,53332.656,54955.45,56344.54,58029.02,60346.945,63741.875
25,Brno_1,2023-11-12,55069.11,47996.12,50398.95,52038.625,53670.29,55069.11,56794.816,58391.14,60777.293,64295.637
26,Brno_1,2023-11-19,55237.934,48137.53,50620.07,52510.18,53812.254,55237.934,56748.402,58405.273,60809.742,64358.33
27,Brno_1,2023-11-26,55416.77,47983.836,50557.082,52348.73,54038.473,55416.77,57112.207,58618.934,61068.094,64577.73
28,Brno_1,2023-12-03,55286.74,47725.734,50311.664,52228.73,53634.52,55286.74,57054.273,58733.58,61368.684,64929.25
29,Brno_1,2023-12-10,55321.875,47410.62,50174.33,52012.17,53950.117,55321.875,56985.04,58918.38,61381.15,65422.754
30,Brno_1,2023-12-17,55031.7,47231.883,50254.594,52006.52,53494.176,55031.7,56795.473,58674.504,60926.14,64943.29
31,Brno_1,2023-12-24,53813.805,46506.24,48920.53,51070.145,52422.574,53813.805,55518.27,57285.312,59752.81,63485.438
32,Brno_1,2023-12-31,53018.004,45497.49,48011.2,49956.297,51453.227,53018.004,54699.836,56444.984,58552.793,62347.918
33,Brno_1,2024-01-07,52671.438,45116.27,47750.406,49741.984,51178.688,52671.438,54474.72,55918.16,58508.434,62043.062
34,Brno_1,2024-01-14,53733.273,45869.86,48608.33,50571.555,52338.066,53733.273,55507.54,57406.023,59880.96,63861.816
35,Brno_1,2024-01-21,54348.074,46441.4,49325.848,51243.395,52936.375,54348.074,56328.918,58361.87,60613.457,65032.938
36,Brno_1,2024-01-28,54517.91,46439.152,49126.754,51119.16,52881.61,54517.91,56291.062,58253.79,61053.293,65109.39
37,Brno_1,2024-02-04,54498.723,46314.44,49180.523,51227.508,52834.684,54498.723,56108.97,58118.934,60654.203,65037.027
38,Brno_1,2024-02-11,54388.164,46223.637,49084.535,51003.113,52522.906,54388.164,55896.094,58006.387,60533.79,64651.35
39,Brno_1,2024-02-18,54475.11,46398.094,49167.516,51240.234,52828.906,54475.11,56354.008,58235.508,60785.23,65226.652
40,Brno_1,2024-02-25,54155.96,46087.945,48912.51,50886.324,52564.133,54155.96,55802.207,57797.805,60279.285,64573.03
41,Brno_1,2024-03-03,53764.79,45941.945,48714.914,50573.098,52215.348,53764.79,55468.56,57217.72,59897.375,64128.777
42,Brno_1,2024-03-10,53631.17,45767.832,48703.832,50571.67,52223.26,53631.17,55848.08,57505.332,60233.676,64284.56
